rank,ticker,company_name,issuecapitalization_rub,listlevel,e_disclosure_company_id,e_disclosure_company_url,e_disclosure_files_type_4_url,e_disclosure_files_type_3_url,e_disclosure_files_type_2_url,e_disclosure_search_url,e_disclosure_search_terms,link_status,source_board,source_universe,captured_on
48,GCHE,Группа Черкизово ПАО-ао,131268328578.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,GCHE | Группа Черкизово ПАО-ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
49,AFKS,"АФК ""Система"" ПАО ао",130641700000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО АФК ""Система"" | Система | AFKS | АФК ""Система"" ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
50,VKCO,Международная компания ПАО ВК,130163829696.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,ВК | VK | VKCO | Международная компания ПАО ВК,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
51,HEAD,МКПАО Хэдхантер,128956380894.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,HeadHunter | Хэдхантер | HEAD | МКПАО Хэдхантер,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
52,BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",128813937328.83,1,3935,https://www.e-disclosure.ru/portal/company.aspx?id=3935,https://www.e-disclosure.ru/portal/files.aspx?id=3935&type=4,https://www.e-disclosure.ru/portal/files.aspx?id=3935&type=3,https://www.e-disclosure.ru/portal/files.aspx?id=3935&type=2,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Банк Санкт-Петербург"" | Банк Санкт-Петербург | BSPB | ПАО ""Банк ""Санкт-Петербург"" ао",known_company_id,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
53,FEES,"""ФСК - Россети"" ПАО",119236173843.6,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Россети"" | Россети | FEES | ""ФСК - Россети"" ПАО",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
54,LSNG,Россети Ленэнерго ПАО-ао,118736329507.6,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,LSNG | Россети Ленэнерго ПАО-ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
55,VEON-RX,VEON Ltd. ORD SHS,101449389432.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,VEON-RX | VEON Ltd. ORD SHS,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
56,KZOS,"ПАО ""Органический синтез"" ао",99609361200.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"KZOS | ПАО ""Органический синтез"" ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
57,MGTS,"ПАО ""МГТС"" ао (5 в)",95969336204.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"MGTS | ПАО ""МГТС"" ао (5 в)",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
