rank,ticker,company_name,share_type,edisclosure_company_id,edisclosure_url,moex_source_url
58,MSNG,"ПАО ""Мосэнерго""",Обыкновенные,936,https://www.e-disclosure.ru/portal/company.aspx?id=936,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
59,HYDR,"ПАО ""РусГидро""",Обыкновенные,8580,https://www.e-disclosure.ru/portal/company.aspx?id=8580,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
60,UPRO,"ПАО ""Юнипро""",Обыкновенные,7878,https://www.e-disclosure.ru/portal/company.aspx?id=7878,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
61,ASTR,"ПАО ""Группа Астра""",Обыкновенные,38906,https://www.e-disclosure.ru/portal/company.aspx?id=38906,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
62,MSRS,"ПАО ""МОЭСК""",Обыкновенные,5563,https://www.e-disclosure.ru/portal/company.aspx?id=5563,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
63,LSRG,"ПАО ""Группа ЛСР""",Обыкновенные,4834,https://www.e-disclosure.ru/portal/company.aspx?id=4834,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
64,FEES,"ПАО ""ФСК - Россети""",Обыкновенные,379,https://www.e-disclosure.ru/portal/company.aspx?id=379,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
65,APTK,"ПАО ""Аптечная сеть 36,6""",Обыкновенные,1216,https://www.e-disclosure.ru/portal/company.aspx?id=1216,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
66,SMLT,"ПАО ""ГК ""Самолет""",Обыкновенные,36419,https://www.e-disclosure.ru/portal/company.aspx?id=36419,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
67,UWGN,"ПАО ""НПК ОВК""",Обыкновенные,35102,https://www.e-disclosure.ru/portal/company.aspx?id=35102,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
68,FIXR,"ПАО ""Фикс Прайс""",Обыкновенные,39347,https://www.e-disclosure.ru/portal/company.aspx?id=39347,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
69,PRMD,"ПАО ""ПРОМОМЕД""",Обыкновенные,38533,https://www.e-disclosure.ru/portal/company.aspx?id=38533,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
70,RTKMP,"ПАО ""Ростелеком""",Привилегированные,141,https://www.e-disclosure.ru/portal/company.aspx?id=141,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
71,AQUA,"ПАО ""ИНАРКТИКА""",Обыкновенные,17531,https://www.e-disclosure.ru/portal/company.aspx?id=17531,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
72,NKNCP,"ПАО ""Нижнекамскнефтехим""",Привилегированные,197,https://www.e-disclosure.ru/portal/company.aspx?id=197,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
73,RNFT,"ПАО ""НК ""РуссНефть""",Обыкновенные,534,https://www.e-disclosure.ru/portal/company.aspx?id=534,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
74,MRKV,"ПАО ""Россети Волга""",Обыкновенные,12131,https://www.e-disclosure.ru/portal/company.aspx?id=12131,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
75,MRKU,"ПАО ""Россети Урал""",Обыкновенные,12105,https://www.e-disclosure.ru/portal/company.aspx?id=12105,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
76,MRKC,"ПАО ""Россети Центр""",Обыкновенные,7985,https://www.e-disclosure.ru/portal/company.aspx?id=7985,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
77,MBNK,"ПАО ""МТС-Банк""",Обыкновенные,1285,https://www.e-disclosure.ru/portal/company.aspx?id=1285,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
78,TRMK,"ПАО ""ТМК""",Обыкновенные,274,https://www.e-disclosure.ru/portal/company.aspx?id=274,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
79,MTLR,"ПАО ""Мечел""",Обыкновенные,1942,https://www.e-disclosure.ru/portal/company.aspx?id=1942,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
80,BELU,"ПАО ""НоваБев Групп""",Обыкновенные,7380,https://www.e-disclosure.ru/portal/company.aspx?id=7380,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
81,VSEH,"ПАО ""ВИ.ру""",Обыкновенные,39131,https://www.e-disclosure.ru/portal/company.aspx?id=39131,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
82,NKHP,"ПАО ""Новороссийский комбинат хлебопродуктов""",Обыкновенные,10198,https://www.e-disclosure.ru/portal/company.aspx?id=10198,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
83,SOFL,"ПАО ""Софтлайн""",Обыкновенные,37065,https://www.e-disclosure.ru/portal/company.aspx?id=37065,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
84,SGZH,"ПАО ГК ""Сегежа""",Обыкновенные,38038,https://www.e-disclosure.ru/portal/company.aspx?id=38038,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
85,ETLN,"МКПАО ""Эталон Груп""",Обыкновенные,39517,https://www.e-disclosure.ru/portal/company.aspx?id=39517,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
86,DATA,"ПАО ""Группа Аренадата""",Обыкновенные,39154,https://www.e-disclosure.ru/portal/company.aspx?id=39154,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
87,RASP,"ПАО ""Распадская""",Обыкновенные,942,https://www.e-disclosure.ru/portal/company.aspx?id=942,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
88,SPBE,"ПАО ""СПБ Биржа""",Обыкновенные,4566,https://www.e-disclosure.ru/portal/company.aspx?id=4566,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
89,EUTR,"ПАО ""ЕвроТранс""",Обыкновенные,38758,https://www.e-disclosure.ru/portal/company.aspx?id=38758,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
90,TGKA,"ПАО ""ТГК-1""",Обыкновенные,7263,https://www.e-disclosure.ru/portal/company.aspx?id=7263,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
91,BAZA,"ПАО ""ГК ""БАЗИС""",Обыкновенные,39611,https://www.e-disclosure.ru/portal/company.aspx?id=39611,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
92,OGKB,"ПАО ""ОГК-2""",Обыкновенные,7234,https://www.e-disclosure.ru/portal/company.aspx?id=7234,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
93,ELFV,"ПАО ""ЭЛ5-Энерго""",Обыкновенные,5732,https://www.e-disclosure.ru/portal/company.aspx?id=5732,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
94,MTLRP,"ПАО ""Мечел""",Привилегированные,1942,https://www.e-disclosure.ru/portal/company.aspx?id=1942,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
95,WUSH,"ПАО ""ВУШ Холдинг""",Обыкновенные,38772,https://www.e-disclosure.ru/portal/company.aspx?id=38772,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
96,SFIN,"ПАО ""ЭсЭфАй""",Обыкновенные,11328,https://www.e-disclosure.ru/portal/company.aspx?id=11328,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
97,GLRX,"ПАО ""ГЛОРАКС""",Обыкновенные,38535,https://www.e-disclosure.ru/portal/company.aspx?id=38535,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
98,SVAV,"ПАО ""СОЛЛЕРС""",Обыкновенные,1324,https://www.e-disclosure.ru/portal/company.aspx?id=1324,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
99,HNFG,"ПАО ""ЭЙЧ ЭФ ДЖИ""",Обыкновенные,38967,https://www.e-disclosure.ru/portal/company.aspx?id=38967,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
100,DIAS,"ПАО ""Диасофт""",Обыкновенные,38975,https://www.e-disclosure.ru/portal/company.aspx?id=38975,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
